Match_ID,Team1,Team2,Team1_Strength,Team2_Strength,Team1_Form,Team2_Form,Venue,Weather,Toss_Winner,Toss_Decision,Home_Advantage,Winner
1,Rajasthan Royals,Lucknow Super Giants,72.07,73.13,87,57,Chinnaswamy Stadium,Cloudy,Rajasthan Royals,Bat,10,Rajasthan Royals
2,Lucknow Super Giants,Gujarat Titans,73.13,70.1,45,53,Chinnaswamy Stadium,Sunny,Lucknow Super Giants,Field,3,Lucknow Super Giants
3,Sunrisers Hyderabad,Chennai Super Kings,72.04,71.19,61,57,Chepauk,Cloudy,Chennai Super Kings,Bat,1,Chennai Super Kings
4,Kolkata Knight Riders,Lucknow Super Giants,71.5,73.13,86,69,Eden Gardens,Dew,Kolkata Knight Riders,Field,10,Kolkata Knight Riders
5,Rajasthan Royals,Lucknow Super Giants,72.07,73.13,82,54,Narendra Modi Stadium,Sunny,Rajasthan Royals,Bat,6,Rajasthan Royals
6,Delhi Capitals,Gujarat Titans,71.2,70.1,53,82,Narendra Modi Stadium,Sunny,Delhi Capitals,Bat,2,Delhi Capitals
7,Royal Challengers Bengaluru,Mumbai Indians,70.57,71.65,83,60,Wankhede Stadium,Cloudy,Royal Challengers Bengaluru,Field,6,Royal Challengers Bengaluru
8,Delhi Capitals,Mumbai Indians,71.2,71.65,81,71,Rajiv Gandhi Stadium,Dew,Delhi Capitals,Field,2,Delhi Capitals
9,Gujarat Titans,Chennai Super Kings,70.1,71.19,97,77,Rajiv Gandhi Stadium,Humid,Gujarat Titans,Bat,8,Gujarat Titans
10,Sunrisers Hyderabad,Gujarat Titans,72.04,70.1,90,83,Rajiv Gandhi Stadium,Sunny,Gujarat Titans,Field,9,Sunrisers Hyderabad
11,Lucknow Super Giants,Rajasthan Royals,73.13,72.07,83,96,Narendra Modi Stadium,Humid,Lucknow Super Giants,Field,6,Lucknow Super Giants
12,Kolkata Knight Riders,Royal Challengers Bengaluru,71.5,70.57,88,51,Eden Gardens,Humid,Kolkata Knight Riders,Bat,5,Kolkata Knight Riders
13,Royal Challengers Bengaluru,Lucknow Super Giants,70.57,73.13,78,60,Ekana Stadium,Sunny,Royal Challengers Bengaluru,Field,4,Royal Challengers Bengaluru
14,Rajasthan Royals,Gujarat Titans,72.07,70.1,86,71,Eden Gardens,Cloudy,Rajasthan Royals,Field,8,Rajasthan Royals
15,Mumbai Indians,Royal Challengers Bengaluru,71.65,70.57,88,86,Chinnaswamy Stadium,Humid,Royal Challengers Bengaluru,Field,7,Royal Challengers Bengaluru
16,Rajasthan Royals,Delhi Capitals,72.07,71.2,41,77,Chinnaswamy Stadium,Cloudy,Rajasthan Royals,Bat,10,Delhi Capitals
17,Delhi Capitals,Rajasthan Royals,71.2,72.07,72,55,Narendra Modi Stadium,Dew,Delhi Capitals,Bat,9,Delhi Capitals
18,Chennai Super Kings,Mumbai Indians,71.19,71.65,46,46,Rajiv Gandhi Stadium,Humid,Mumbai Indians,Field,7,Chennai Super Kings
19,Rajasthan Royals,Lucknow Super Giants,72.07,73.13,65,86,Arun Jaitley Stadium,Sunny,Rajasthan Royals,Bat,3,Rajasthan Royals
20,Punjab Kings,Mumbai Indians,70.57,71.65,95,99,Eden Gardens,Dew,Punjab Kings,Bat,10,Punjab Kings
21,Mumbai Indians,Sunrisers Hyderabad,71.65,72.04,66,71,Ekana Stadium,Cloudy,Sunrisers Hyderabad,Bat,2,Sunrisers Hyderabad
22,Punjab Kings,Kolkata Knight Riders,70.57,71.5,67,84,Ekana Stadium,Cloudy,Punjab Kings,Field,3,Punjab Kings
23,Delhi Capitals,Lucknow Super Giants,71.2,73.13,43,77,Ekana Stadium,Cloudy,Delhi Capitals,Bat,2,Lucknow Super Giants
24,Chennai Super Kings,Rajasthan Royals,71.19,72.07,100,96,Chinnaswamy Stadium,Sunny,Chennai Super Kings,Field,10,Chennai Super Kings
25,Mumbai Indians,Delhi Capitals,71.65,71.2,55,56,Rajiv Gandhi Stadium,Cloudy,Delhi Capitals,Field,5,Delhi Capitals
26,Gujarat Titans,Rajasthan Royals,70.1,72.07,44,74,Chinnaswamy Stadium,Humid,Gujarat Titans,Field,1,Gujarat Titans
27,Royal Challengers Bengaluru,Kolkata Knight Riders,70.57,71.5,79,91,Wankhede Stadium,Humid,Royal Challengers Bengaluru,Bat,4,Royal Challengers Bengaluru
28,Kolkata Knight Riders,Gujarat Titans,71.5,70.1,78,53,Arun Jaitley Stadium,Cloudy,Gujarat Titans,Field,4,Gujarat Titans
29,Chennai Super Kings,Kolkata Knight Riders,71.19,71.5,42,40,Arun Jaitley Stadium,Cloudy,Kolkata Knight Riders,Bat,7,Kolkata Knight Riders
30,Rajasthan Royals,Sunrisers Hyderabad,72.07,72.04,74,42,Arun Jaitley Stadium,Cloudy,Sunrisers Hyderabad,Bat,0,Sunrisers Hyderabad
31,Lucknow Super Giants,Delhi Capitals,73.13,71.2,53,83,Chinnaswamy Stadium,Sunny,Delhi Capitals,Field,9,Delhi Capitals
32,Sunrisers Hyderabad,Gujarat Titans,72.04,70.1,96,66,Wankhede Stadium,Cloudy,Gujarat Titans,Field,10,Gujarat Titans
33,Rajasthan Royals,Chennai Super Kings,72.07,71.19,95,42,Ekana Stadium,Cloudy,Rajasthan Royals,Field,5,Rajasthan Royals
34,Lucknow Super Giants,Mumbai Indians,73.13,71.65,65,61,Narendra Modi Stadium,Sunny,Mumbai Indians,Field,10,Lucknow Super Giants
35,Delhi Capitals,Lucknow Super Giants,71.2,73.13,47,96,Narendra Modi Stadium,Cloudy,Lucknow Super Giants,Bat,1,Lucknow Super Giants
36,Chennai Super Kings,Royal Challengers Bengaluru,71.19,70.57,47,64,Chinnaswamy Stadium,Humid,Chennai Super Kings,Field,0,Royal Challengers Bengaluru
37,Mumbai Indians,Delhi Capitals,71.65,71.2,67,44,Arun Jaitley Stadium,Humid,Mumbai Indians,Field,8,Mumbai Indians
38,Kolkata Knight Riders,Royal Challengers Bengaluru,71.5,70.57,48,52,Rajiv Gandhi Stadium,Dew,Kolkata Knight Riders,Field,6,Kolkata Knight Riders
39,Chennai Super Kings,Delhi Capitals,71.19,71.2,69,68,Ekana Stadium,Cloudy,Delhi Capitals,Bat,10,Chennai Super Kings
40,Delhi Capitals,Rajasthan Royals,71.2,72.07,92,100,Chinnaswamy Stadium,Humid,Delhi Capitals,Bat,2,Rajasthan Royals
41,Rajasthan Royals,Punjab Kings,72.07,70.57,66,96,Chinnaswamy Stadium,Dew,Punjab Kings,Field,3,Punjab Kings
42,Rajasthan Royals,Chennai Super Kings,72.07,71.19,54,51,Ekana Stadium,Sunny,Rajasthan Royals,Bat,7,Rajasthan Royals
